Date,Open,High,Low,Close
19470227,15.48,15.48,15.48,15.48
19470228,15.43,15.43,15.43,15.43
19470303,15.41,15.41,15.41,15.41
19470304,15.41,15.41,15.41,15.41
19470305,15.59,15.59,15.59,15.59
19470306,15.65,15.65,15.65,15.65
19470307,15.16,15.16,15.16,15.16
19470310,15.01,15.01,15.01,15.01
19470311,14.88,14.88,14.88,14.88
19470312,14.97,14.97,14.97,14.97
19470313,14.93,14.93,14.93,14.93
19470314,14.78,14.78,14.78,14.78
19470317,14.82,14.82,14.82,14.82
19470318,15.01,15.01,15.01,15.01
19470319,15.08,15.08,15.08,15.08
19470320,15.07,15.07,15.07,15.07
19470321,15.25,15.25,15.25,15.25
19470324,15.11,15.11,15.11,15.11
19470325,15.02,15.02,15.02,15.02
19470326,15.23,15.23,15.23,15.23
19470327,15.4,15.4,15.4,15.4
19470328,15.33,15.33,15.33,15.33
19470331,15.17,15.17,15.17,15.17
19470401,15.23,15.23,15.23,15.23
19470402,15.22,15.22,15.22,15.22
19470403,15.18,15.18,15.18,15.18
19470407,15.05,15.05,15.05,15.05
19470408,14.83,14.83,14.83,14.83
19470409,14.82,14.82,14.82,14.82
19470410,14.83,14.83,14.83,14.83
19470411,14.72,14.72,14.72,14.72
19470414,14.14,14.14,14.14,14.14
19470415,14.15,14.15,14.15,14.15
19470416,14.29,14.29,14.29,14.29
19470417,14.27,14.27,14.27,14.27
19470418,14.09,14.09,14.09,14.09
19470421,14.45,14.45,14.45,14.45
19470422,14.56,14.56,14.56,14.56
19470423,14.58,14.58,14.58,14.58
19470424,14.49,14.49,14.49,14.49
19470425,14.39,14.39,14.39,14.39
19470428,14.37,14.37,14.37,14.37
19470429,14.4,14.4,14.4,14.4
19470430,14.58,14.58,14.58,14.58
19470501,14.69,14.69,14.69,14.69
19470502,14.79,14.79,14.79,14.79
19470505,14.85,14.85,14.85,14.85
19470506,14.69,14.69,14.69,14.69
19470507,14.68,14.68,14.68,14.68
19470508,14.6,14.6,14.6,14.6
19470509,14.63,14.63,14.63,14.63
19470512,14.46,14.46,14.46,14.46
19470513,14.15,14.15,14.15,14.15
19470514,14.11,14.11,14.11,14.11
19470515,14.24,14.24,14.24,14.24
19470516,13.96,13.96,13.96,13.96
19470519,13.77,13.77,13.77,13.77
19470520,13.83,13.83,13.83,13.83
19470521,14.09,14.09,14.09,14.09
19470522,14.19,14.19,14.19,14.19
19470523,14.0,14.0,14.0,14.0
19470526,14.14,14.14,14.14,14.14
19470527,14.12,14.12,14.12,14.12
19470528,14.34,14.34,14.34,14.34
19470529,14.45,14.45,14.45,14.45
19470602,14.3,14.3,14.3,14.3
19470603,14.5,14.5,14.5,14.5
19470604,14.4,14.4,14.4,14.4
19470605,14.39,14.39,14.39,14.39
19470606,14.5,14.5,14.5,14.5
19470609,14.42,14.42,14.42,14.42
19470610,14.56,14.56,14.56,14.56
19470611,14.9,14.9,14.9,14.9
19470612,14.82,14.82,14.82,14.82
19470613,14.98,14.98,14.98,14.98
19470616,15.02,15.02,15.02,15.02
19470617,14.96,14.96,14.96,14.96
19470618,14.96,14.96,14.96,14.96
19470619,15.14,15.14,15.14,15.14
19470620,15.16,15.16,15.16,15.16
19470623,15.24,15.24,15.24,15.24
19470624,14.94,14.94,14.94,14.94
19470625,15.06,15.06,15.06,15.06
19470626,15.12,15.12,15.12,15.12
19470627,15.12,15.12,15.12,15.12
19470630,15.21,15.21,15.21,15.21
19470701,15.46,15.46,15.46,15.46
19470702,15.44,15.44,15.44,15.44
19470703,15.6,15.6,15.6,15.6
19470707,15.61,15.61,15.61,15.61
19470708,15.67,15.67,15.67,15.67
19470709,15.52,15.52,15.52,15.52
19470710,15.68,15.68,15.68,15.68
19470711,15.87,15.87,15.87,15.87
19470714,15.96,15.96,15.96,15.96
19470715,15.93,15.93,15.93,15.93
19470716,15.92,15.92,15.92,15.92
19470717,15.75,15.75,15.75,15.75
19470718,15.85,15.85,15.85,15.85
19470721,15.8,15.8,15.8,15.8
19470722,15.87,15.87,15.87,15.87
19470723,15.95,15.95,15.95,15.95
19470724,16.120001,16.120001,16.120001,16.120001
19470725,16.08,16.08,16.08,16.08
19470728,15.94,15.94,15.94,15.94
19470729,15.59,15.59,15.59,15.59
19470730,15.52,15.52,15.52,15.52
19470731,15.76,15.76,15.76,15.76
19470801,15.8,15.8,15.8,15.8
19470804,15.62,15.62,15.62,15.62
19470805,15.67,15.67,15.67,15.67
19470806,15.62,15.62,15.62,15.62
19470807,15.64,15.64,15.64,15.64
19470808,15.43,15.43,15.43,15.43
19470811,15.33,15.33,15.33,15.33
19470812,15.43,15.43,15.43,15.43
19470813,15.52,15.52,15.52,15.52
19470814,15.47,15.47,15.47,15.47
19470815,15.58,15.58,15.58,15.58
19470818,15.5,15.5,15.5,15.5
19470819,15.46,15.46,15.46,15.46
19470820,15.39,15.39,15.39,15.39
19470821,15.43,15.43,15.43,15.43
19470822,15.45,15.45,15.45,15.45
19470825,15.23,15.23,15.23,15.23
19470826,15.23,15.23,15.23,15.23
19470827,15.25,15.25,15.25,15.25
19470828,15.22,15.22,15.22,15.22
19470829,15.32,15.32,15.32,15.32
19470902,15.37,15.37,15.37,15.37
19470903,15.33,15.33,15.33,15.33
19470904,15.14,15.14,15.14,15.14
19470905,15.1,15.1,15.1,15.1
19470908,14.86,14.86,14.86,14.86
19470909,14.89,14.89,14.89,14.89
19470910,15.03,15.03,15.03,15.03
19470911,15.04,15.04,15.04,15.04
19470912,14.99,14.99,14.99,14.99
19470915,14.93,14.93,14.93,14.93
19470916,15.07,15.07,15.07,15.07
19470917,15.27,15.27,15.27,15.27
19470918,15.21,15.21,15.21,15.21
19470919,15.2,15.2,15.2,15.2
19470922,15.18,15.18,15.18,15.18
19470923,14.93,14.93,14.93,14.93
19470924,14.99,14.99,14.99,14.99
19470925,14.9,14.9,14.9,14.9
19470926,14.85,14.85,14.85,14.85
19470929,14.94,14.94,14.94,14.94
19470930,15.11,15.11,15.11,15.11
19471001,15.16,15.16,15.16,15.16
19471002,15.17,15.17,15.17,15.17
19471003,15.24,15.24,15.24,15.24
19471006,15.28,15.28,15.28,15.28
19471007,15.28,15.28,15.28,15.28
19471008,15.16,15.16,15.16,15.16
19471009,15.26,15.26,15.26,15.26
19471010,15.29,15.29,15.29,15.29
19471014,15.55,15.55,15.55,15.55
19471015,15.59,15.59,15.59,15.59
19471016,15.57,15.57,15.57,15.57
19471017,15.58,15.58,15.58,15.58
19471020,15.79,15.79,15.79,15.79
19471021,15.76,15.76,15.76,15.76
19471022,15.69,15.69,15.69,15.69
19471023,15.7,15.7,15.7,15.7
19471024,15.5,15.5,15.5,15.5
19471027,15.53,15.53,15.53,15.53
19471028,15.54,15.54,15.54,15.54
19471029,15.49,15.49,15.49,15.49
19471030,15.33,15.33,15.33,15.33
19471031,15.43,15.43,15.43,15.43
19471103,15.46,15.46,15.46,15.46
19471105,15.34,15.34,15.34,15.34
19471106,15.34,15.34,15.34,15.34
19471107,15.31,15.31,15.31,15.31
19471110,15.37,15.37,15.37,15.37
19471112,15.31,15.31,15.31,15.31
19471113,15.16,15.16,15.16,15.16
19471114,15.19,15.19,15.19,15.19
19471117,15.19,15.19,15.19,15.19
19471118,15.3,15.3,15.3,15.3
19471119,15.34,15.34,15.34,15.34
19471120,15.41,15.41,15.41,15.41
19471121,15.33,15.33,15.33,15.33
19471124,15.24,15.24,15.24,15.24
19471125,15.2,15.2,15.2,15.2
19471126,15.13,15.13,15.13,15.13
19471128,14.98,14.98,14.98,14.98
19471201,15.07,15.07,15.07,15.07
19471202,15.09,15.09,15.09,15.09
19471203,14.95,14.95,14.95,14.95
19471204,14.86,14.86,14.86,14.86
19471205,14.63,14.63,14.63,14.63
19471208,14.77,14.77,14.77,14.77
19471209,14.82,14.82,14.82,14.82
19471210,14.84,14.84,14.84,14.84
19471211,14.83,14.83,14.83,14.83
19471212,14.94,14.94,14.94,14.94
19471215,15.11,15.11,15.11,15.11
19471216,15.09,15.09,15.09,15.09
19471217,15.12,15.12,15.12,15.12
19471218,15.07,15.07,15.07,15.07
19471219,15.12,15.12,15.12,15.12
19471222,15.2,15.2,15.2,15.2
19471223,15.26,15.26,15.26,15.26
19471224,15.25,15.25,15.25,15.25
19471226,15.12,15.12,15.12,15.12
19471229,15.04,15.04,15.04,15.04
19471230,15.22,15.22,15.22,15.22
19471231,15.3,15.3,15.3,15.3
19480102,15.34,15.34,15.34,15.34
19480105,15.2,15.2,15.2,15.2
19480106,15.15,15.15,15.15,15.15
19480107,15.23,15.23,15.23,15.23
19480108,15.31,15.31,15.31,15.31
19480109,15.23,15.23,15.23,15.23
19480112,15.17,15.17,15.17,15.17
19480113,14.95,14.95,14.95,14.95
19480114,14.95,14.95,14.95,14.95
19480115,14.88,14.88,14.88,14.88
19480116,14.87,14.87,14.87,14.87
19480119,14.7,14.7,14.7,14.7
19480120,14.71,14.71,14.71,14.71
19480121,14.54,14.54,14.54,14.54
19480122,14.42,14.42,14.42,14.42
19480123,14.35,14.35,14.35,14.35
19480126,14.32,14.32,14.32,14.32
19480127,14.34,14.34,14.34,14.34
19480128,14.49,14.49,14.49,14.49
19480129,14.65,14.65,14.65,14.65
19480130,14.68,14.68,14.68,14.68
19480202,14.71,14.71,14.71,14.71
19480203,14.62,14.62,14.62,14.62
19480204,14.0,14.0,14.0,14.0
19480205,14.2,14.2,14.2,14.2
19480206,14.19,14.19,14.19,14.19
19480209,14.31,14.31,14.31,14.31
19480210,13.89,13.89,13.89,13.89
19480211,13.88,13.88,13.88,13.88
19480213,13.85,13.85,13.85,13.85
19480216,14.04,14.04,14.04,14.04
19480217,14.04,14.04,14.04,14.04
19480218,14.05,14.05,14.05,14.05
19480219,14.02,14.02,14.02,14.02
19480220,13.96,13.96,13.96,13.96
19480224,14.0,14.0,14.0,14.0
19480225,14.07,14.07,14.07,14.07
19480226,13.98,13.98,13.98,13.98
19480227,13.93,13.93,13.93,13.93
19480301,14.07,14.07,14.07,14.07
19480302,14.16,14.16,14.16,14.16
19480303,14.17,14.17,14.17,14.17
19480304,14.08,14.08,14.08,14.08
19480305,14.11,14.11,14.11,14.11
19480308,14.04,14.04,14.04,14.04
19480309,13.95,13.95,13.95,13.95
19480310,14.01,14.01,14.01,14.01
19480311,13.99,13.99,13.99,13.99
19480312,13.99,13.99,13.99,13.99
19480315,14.06,14.06,14.06,14.06
19480316,13.84,13.84,13.84,13.84
19480317,13.95,13.95,13.95,13.95
19480318,14.03,14.03,14.03,14.03
